-62;-42.5
-64.4;-47.7
-76.1;-59.22222222
-65;-56.11111111
-82.3;-57.9
-76.2;-65.7
-81.9;-75.5
-74.6;-71.3
-83.5;-72.9
-88.3;-80.5
-94.3;-80.3
-87.1;-81.9
-82.7;-88.4
-73.5;-84.33333333
-79;-87.2
-81;-81.7
-80.5;-84.3
-81.44444444;-81.4
-83.125;-88.77777778
-80.3;-94.88888889
-90.2;-94.1
-96.4;-90.88888889
-96.7;-89.4
-100.7;-90.77777778
-96.5;-93.66666667
-98;-102.6
-95.8;-97.55555556
-99;-93.6
-97.7;-96
-107.2;-93.6
-103.5;-89.8
-104.7;-104.9
-102.2;-101.1
-110.1;-105.3
-106.8;-112.9
-112.7;-98.1
-104.8;-103.4
-111;-105.7
-113.9;-106.4
-104.6666667;-113.4444444
-113.1;-110
-111;-115
-117.2222222;-116.6666667
-109.2;-116.6666667
-115.6666667;-115.9
-117.7;-117.875
-114.5;-117.2222222
-117.7142857;-118.1111111
-118.2857143;-119.4285714
-118.625;-115.4444444
-117.4285714;-112.1
-119.8;-118.1111111
-116.8;-109.4
-118.3333333;-110.8888889
-109.7;-118.5
-111.8;-118.5
-108.3;-119.1428571
-112.6;-119.5
-113.6;-118.6666667
-119.2;-120
-116.8;-118.8571429
-118;-118.2
-118.3333333;-115.2
-119.5;-119.4
